sample	MethPipe_precision	MethPipe_recall	MethPipe_F1	MethylSeekR_precision	MethylSeekR_recall	MethylSeekR_F1	MMSeekR_precision	MMSeekR_recall	MMSeekR_F1
BP_bone_marrow_G203_plasma_cell_MultipleMyeloma	0.688837932067766	0.294643829015168	0.412741453693764	0.594248852475333	0.718877690688729	0.650649010159444	0.612586320234479	0.693041392699035	0.65033496504114
BP_bone_marrow_G204_plasma_cell_MultipleMyeloma	0.623028442881508	0.554211737426519	0.58660871684681	0.461017827031734	0.368615795776181	0.409671084937825	0.64305040140733	0.526752611945715	0.579120543694178
BP_bone_marrow_S004XMA1_myeloid_cell_AcutePromyelocyticLeukemia	0.771383246189111	0.467499231439147	0.582171563890102	0.647777206310581	0.642431621307787	0.645093339912304	0.709368260382954	0.580522466071558	0.638510229470862
BP_bone_marrow_S0050AA1_myeloid_cell_AcutePromyelocyticLeukemia	0.76987008705487	0.470467797372814	0.58403292952234	0.646319708711166	0.650810238043399	0.648557200503896	0.704851646545624	0.586685768923724	0.640363066958452
BP_bone_marrow_S005FHA1_myeloid_cell_AcuteMyeloidLeukemia	0.304465739782221	0.00557701865157123	0.0109533995769327	0.605028235604442	0.595758551418826	0.600357614035281	0.727407472708841	0.490753187459177	0.586092701046923
BP_bone_marrow_S008QKA1_myeloid_cell_AcutePromyelocyticLeukemia	0.383928939370213	0.0011494368241527	0.00229201164257152	0.662398199768232	0.616256988170404	0.638495074214267	0.683532122914727	0.621319576892372	0.650942769150712
BP_bone_marrow_S008X6A1_myeloid_cell_AcuteMyeloidLeukemia	0.794774864456682	0.366552373176573	0.501713217889214	0.7111685446818	0.50710537847449	0.592046480114557	0.718843549774819	0.536574783365992	0.614477759026324
BP_bone_marrow_S00CXRA1_myeloid_cell_AcuteMyeloidLeukemia	0.372430655963943	0.00315344001741781	0.00625392686642486	0.464627502582574	0.0442897394585964	0.0808706380320115	0.696659560912373	0.516674542419624	0.593317634224885
BP_bone_marrow_S00CYPA1_myeloid_cell_AcuteMyeloidLeukemia	0.687739282427855	0.43907403294869	0.535968924456538	0.605167007952309	0.594133064083025	0.599599278113057	0.653897285223934	0.551911105305175	0.598591245970074
BP_bone_marrow_S00D0FA1_myeloid_cell_AcuteMyeloidLeukemia	0.742473551859452	0.346451579214747	0.472449624361478	0.651248096512673	0.630262565498222	0.640583505469768	0.674357005551385	0.609940734450976	0.640533412832162
BP_bone_marrow_S00XCMA1_plasma_cell_MultipleMyeloma	0.643288125448946	0.672982614848683	0.657800422833754	0.407400277858401	0.221146447492561	0.28667757072654	0.665506169229377	0.622994963350025	0.643549285328582
BP_bone_marrow_S00XDKU1_plasma_cell_MultipleMyeloma	0.671932451729096	0.628949380942013	0.649730804037924	0.445369785469008	0.358190394077945	0.39705098143986	0.677898405339456	0.577927254517744	0.623933682457703
BP_bone_marrow_S00XEIU1_plasma_cell_MultipleMyeloma	0.603864846845546	0.436180340373031	0.506504866660267	0.55937330335458	0.466360218448363	0.508649567166512	0.590766107970311	0.388150775092532	0.468489872173047
BP_bone_marrow_S013M3A1_myeloid_cell_AcuteMyeloidLeukemia	0.672851585596246	0.133359973873285	0.222600305891807	0.599462131927566	0.687790863633065	0.640596027130175	0.674698976960109	0.572652667827854	0.619501598849631
BP_bone_marrow_S013N1A1_mononuclear_cell_of_bone_marrow_AcuteMyeloidLeukemia	0.365134982036282	0.0110260933304304	0.0214057894544893	0.728938851250936	0.37370264895856	0.49409781799348	0.679245908308852	0.628342537194281	0.652803409013598
BP_bone_marrow_S0179DA1_precursor_B_cell_AcuteLymphocyticLeukemia	0.735660710893915	0.33845759997097	0.463617380103323	0.614813261674746	0.681394137455548	0.646393705847046	0.647053904767755	0.649263481384716	0.648156809961468
BP_bone_marrow_S017E3A1_precursor_B_cell_AcuteLymphocyticLeukemia	0.370585192401739	0.00851209739458596	0.0166419403969348	0.637461950914203	0.712395878510777	0.672849031415654	0.674538547552482	0.656215120836055	0.665250684639093
BP_bone_marrow_S01GRFA1_precursor_B_cell_AcuteLymphocyticLeukemia	0.755508606185909	0.507856184773931	0.607409231358962	0.651381530184417	0.702228724145439	0.675850111817844	0.664467608207505	0.686316450395529	0.675215327517869
BP_bone_marrow_S01GSDA1_precursor_B_cell_AcuteLymphocyticLeukemia	0.725221451709801	0.131725367588359	0.222954470821599	0.640966661261155	0.679426054140359	0.659636249755831	0.690257685343457	0.633818406270412	0.660835172255157
BP_bone_marrow_S01GTBA1_precursor_B_cell_AcuteLymphocyticLeukemia	0.434896758663164	0.0105632019740184	0.0206254330603984	0.65430223491829	0.706484080847667	0.679392653610908	0.709242747665178	0.639439849045649	0.672534926467924
BP_venous_blood_S00AYXU1_NA_ChronicLymphocyticLeukemia	0.732489720620022	0.618132360113216	0.670469713511151	0.59887223971902	0.803904338486102	0.686404377131838	0.643665794575215	0.746087435953262	0.691102494653422
BP_venous_blood_S00B0NU1_NA_ChronicLymphocyticLeukemia	0.354988447032808	0.00889877639886784	0.0173623178331758	0.571559013075998	0.827529549314174	0.676128710092809	0.66741790206066	0.70150087234197	0.684035092902442
BP_venous_blood_S00B1LU1_NA_ChronicLymphocyticLeukemia	0.73129448182042	0.588065789244502	0.65190573955173	0.611281341844473	0.770267359750345	0.681626445312648	0.637014420727138	0.739068324987299	0.68425708030389
BP_venous_blood_S00B2JA1_NA_ChronicLymphocyticLeukemia	0.781604934980129	0.522968736483054	0.62664907964458	0.590390019720189	0.812955957616663	0.684023885200106	0.625852382187913	0.762559842513971	0.68747578782041
BP_venous_blood_S00CWTA1_myeloid_cell_AcuteMyeloidLeukemia	0.342928058527427	0.0043958777850352	0.00868048341470946	0.674428712006423	0.163985915523623	0.263823664717318	0.694026818272942	0.548981288192177	0.613041435134179
