region	ESCC_Nonmalignant_3	ESCC_Nonmalignant_53F	ESCC_Nonmalignant_54M	ESCC_Nonmalignant_1	ESCC_Nonmalignant_2	GEJ_Nonmalignant_6	GEJ_Nonmalignant_4	GEJ_Nonmalignant_5	GEJ_Nonmalignant_3	GEJ_Nonmalignant_7	GEJ_Nonmalignant_1	GEJ_Nonmalignant_2	ESCC_14	ESCC_2	ESCC_8	ESCC_10	ESCC_11	ESCC_1	ESCC_15	ESCC_16	ESCC_17	ESCC_19	ESCC_7	ESCC_12	ESCC_9	ESCC_13	ESCC_20	ESCC_22	ESCC_6	ESCC_4	ESCC_21	ESCC_3	ESCC_5	EAC_4	GEJ_1	EAC_2	EAC_6	GEJ_3	GEJ_7	EAC_1	GEJ_6	EAC_3	GEJ_4	GEJ_2	GEJ_5
chr3_185040000_185050000	0.8595	0.9053	0.9034	0.9174	0.9096	0.8969	0.8833	0.8917	0.8908	0.8784	0.9057	0.9292	0.8713	0.8631	0.8262	0.8871	0.8905	0.8939	0.9323	0.8709	0.8832	0.8893	0.8029	0.865	0.868	0.8592	0.8194	0.9414	0.8521	0.778	0.8058	0.8277	0.8731	0.9132	0.8926	0.9078	0.8402	0.8722	0.9057	0.9028	0.8656	0.8673	0.8553	0.8894	0.824
chr3_185050000_185060000	0.829	0.9235	0.9231	0.9031	0.9076	0.8652	0.8536	0.8276	0.9321	0.8828	0.9264	0.8902	0.8597	0.8279	0.8617	0.8511	0.8997	0.8081	0.9147	0.853	0.8702	0.8028	0.7756	0.7851	0.8765	0.8507	0.7202	0.9128	0.8209	0.7504	0.8618	0.8457	0.8643	0.9289	0.9009	0.8832	0.8177	0.8328	0.9153	0.8302	0.7803	0.8738	0.8216	0.8353	0.8684
chr3_185060000_185070000	0.814	0.8266	0.7841	0.8263	0.8355	0.8021	0.8232	0.7695	0.8222	0.8666	0.8396	0.8551	0.7336	0.8008	0.7448	0.8362	0.8089	0.8105	0.7601	0.6869	0.7745	0.6659	0.7085	0.6111	0.645	0.6565	0.5404	0.5848	0.7156	0.6684	0.6551	0.5526	0.7317	0.8761	0.8171	0.8785	0.7648	0.8084	0.8026	0.5828	0.7744	0.6371	0.7869	0.7248	0.6338
chr3_185070000_185080000	0.7881	0.8236	0.8041	0.8632	0.8346	0.8209	0.8277	0.8586	0.843	0.8639	0.8787	0.8805	0.6672	0.8387	0.7963	0.8496	0.8403	0.8723	0.769	0.6674	0.7648	0.769	0.7402	0.5996	0.655	0.6518	0.5662	0.6158	0.7741	0.6291	0.6543	0.5645	0.7779	0.8647	0.835	0.844	0.7932	0.8151	0.8298	0.7086	0.7977	0.6965	0.8433	0.7935	0.7325
chr3_185080000_185090000	0.818	0.8223	0.8132	0.8445	0.832	0.8118	0.8271	0.8091	0.8618	0.8773	0.8494	0.8479	0.6669	0.8513	0.813	0.8682	0.8498	0.8978	0.8037	0.693	0.6954	0.7237	0.7955	0.6255	0.6549	0.612	0.5739	0.5455	0.7917	0.6489	0.7339	0.5163	0.7911	0.8612	0.8068	0.8894	0.8133	0.8123	0.8245	0.796	0.8533	0.701	0.8452	0.8021	0.8084
chr3_185090000_185100000	0.8465	0.8347	0.8338	0.8802	0.8687	0.8417	0.8369	0.8118	0.8596	0.8778	0.8856	0.9362	0.728	0.8212	0.7901	0.9127	0.8729	0.8739	0.7283	0.6703	0.6897	0.6163	0.8011	0.5389	0.5874	0.5806	0.55	0.5227	0.7443	0.5719	0.732	0.5392	0.6931	0.8944	0.7956	0.9019	0.8116	0.8363	0.8569	0.7813	0.8387	0.6542	0.8595	0.7511	0.8115
chr3_185100000_185110000	0.8113	0.8029	0.805	0.8185	0.8581	0.7507	0.7519	0.7903	0.8293	0.805	0.8216	0.8577	0.6893	0.8271	0.7334	0.8711	0.8344	0.8459	0.5911	0.63	0.655	0.5253	0.6858	0.4354	0.5628	0.6121	0.5234	0.5175	0.7129	0.4905	0.6353	0.5153	0.6347	0.8184	0.7871	0.8472	0.796	0.776	0.8039	0.7301	0.7926	0.6487	0.7962	0.7201	0.8025
chr3_185110000_185120000	0.7967	0.8263	0.815	0.8614	0.8415	0.7855	0.8257	0.8041	0.8458	0.8717	0.8602	0.8967	0.6538	0.8501	0.7899	0.8198	0.868	0.8859	0.5657	0.6096	0.6816	0.5034	0.7607	0.4423	0.5625	0.557	0.4798	0.5518	0.7772	0.4655	0.6465	0.5317	0.5842	0.8944	0.7822	0.8279	0.7967	0.8178	0.8388	0.7353	0.8646	0.6187	0.8711	0.6857	0.8269
chr3_185120000_185130000	0.8344	0.8813	0.8584	0.858	0.8702	0.8529	0.8681	0.8541	0.8739	0.895	0.8935	0.9113	0.7287	0.8627	0.836	0.8671	0.8949	0.8849	0.8081	0.7289	0.8245	0.7774	0.7988	0.658	0.6962	0.7548	0.6571	0.6183	0.7819	0.5624	0.7182	0.5871	0.7612	0.8955	0.8645	0.8962	0.8306	0.8152	0.8648	0.8161	0.8387	0.6998	0.8744	0.8033	0.8515
chr3_185130000_185140000	0.8675	0.8376	0.8694	0.9064	0.8925	0.83	0.8626	0.8369	0.8964	0.8877	0.8887	0.8972	0.7422	0.8648	0.8558	0.8978	0.9185	0.9097	0.8371	0.7103	0.7919	0.7724	0.8165	0.6922	0.7287	0.7855	0.6956	0.6898	0.8406	0.6342	0.7793	0.6482	0.7717	0.9061	0.8553	0.8656	0.8595	0.8378	0.8624	0.8215	0.8471	0.7566	0.8906	0.8184	0.8208
chr3_185140000_185150000	0.8371	0.8092	0.8489	0.8564	0.8156	0.8182	0.8186	0.7823	0.8227	0.8311	0.8362	0.8146	0.6545	0.8457	0.8285	0.8586	0.8719	0.9044	0.736	0.603	0.7226	0.5157	0.8088	0.5271	0.626	0.6582	0.5639	0.5932	0.7965	0.5234	0.6846	0.5894	0.7334	0.8774	0.7884	0.8428	0.789	0.7995	0.8263	0.7978	0.8322	0.6578	0.8318	0.7966	0.8142
