Sample	hypoEAC	hypoESCC	Type	Source
GSM1873683	0.494785193951137	0.659237772398536	Tumour	GSE72874
GSM1873686	0.673884059439667	0.631106660356801	Tumour	GSE72874
GSM1873688	0.681648025114446	0.553761941953524	Normal	GSE72874
GSM1873690	0.575652104317333	0.671829315323407	Tumour	GSE72874
GSM1873691	0.738134395458423	0.541188845208693	Tumour	GSE72874
GSM1873693	0.730213523813212	0.604214272135578	Tumour	GSE72874
GSM1873694	0.526547050015534	0.728482969689987	Tumour	GSE72874
GSM1873695	0.507365830624133	0.652606354144522	Tumour	GSE72874
GSM1873696	0.435628983002208	0.727188190363189	Tumour	GSE72874
GSM1873697	0.501526592987363	0.675914412438031	Tumour	GSE72874
GSM1873698	0.481342400809176	0.648026483292067	Tumour	GSE72874
GSM1873701	0.487957108386663	0.688953458988212	Tumour	GSE72874
GSM1873702	0.474042258391743	0.721058396873546	Tumour	GSE72874
GSM1873703	0.725843329021923	0.503489098683818	Tumour	GSE72874
GSM1873704	0.509275831675371	0.698050142375501	Tumour	GSE72874
GSM1873706	0.75455864969328	0.384967274503246	Tumour	GSE72874
GSM1873707	0.816860679270091	0.420335996366155	Tumour	GSE72874
GSM1873709	0.433142888661218	0.656854309851456	Tumour	GSE72874
GSM1873710	0.561716824785042	0.667621980540341	Tumour	GSE72874
GSM1873713	0.75976730806982	0.410513799397806	Tumour	GSE72874
GSM1873717	0.599807415965871	0.61120519814373	Tumour	GSE72874
GSM1873721	0.724660387161285	0.364876656527673	Normal	GSE72874
GSM1873722	0.481981402718475	0.683515017018956	Tumour	GSE72874
GSM1873723	0.716485683536952	0.436164874959345	Tumour	GSE72874
GSM1873724	0.769139166092233	0.418351143069477	Tumour	GSE72874
GSM1873727	0.706229038950187	0.43333932887594	Tumour	GSE72874
GSM1873729	0.60802195975327	0.677303208713118	Tumour	GSE72874
GSM1873730	0.688300895830418	0.501232117355835	Tumour	GSE72874
GSM1873731	0.518057050218388	0.700824498869696	Tumour	GSE72874
GSM1873732	0.376308961247308	0.717506769840199	Tumour	GSE72874
GSM1873733	0.517520657953851	0.694498350224066	Tumour	GSE72874
GSM1873734	0.433283636134633	0.682440668721246	Tumour	GSE72874
GSM1873735	0.447492849012349	0.667076571171656	BE	GSE72874
GSM1873736	0.537312167685778	0.692956799336239	Tumour	GSE72874
GSM1873737	0.388053863467628	0.710348011828368	BE	GSE72874
GSM1873738	0.423415863426064	0.721903953640326	Tumour	GSE72874
GSM1873739	0.540215715443661	0.708786906631012	Tumour	GSE72874
GSM1873740	0.505535549288684	0.670492817827162	Tumour	GSE72874
GSM1873741	0.47640416030461	0.597936673821996	Tumour	GSE72874
GSM1873742	0.522834171501207	0.616146458876603	BE	GSE72874
GSM1873743	0.545205712121497	0.646967557809657	Tumour	GSE72874
GSM1873744	0.706637957250838	0.461811686168333	Normal	GSE72874
GSM1873745	0.633665647168071	0.591081281535865	BE	GSE72874
GSM1873746	0.69761634182027	0.383025448291806	Tumour	GSE72874
GSM1873748	0.507232625288102	0.716735807682784	Tumour	GSE72874
GSM1873749	0.384258375292187	0.697572015932087	Tumour	GSE72874
GSM1873750	0.680793541871401	0.414615623854733	Normal	GSE72874
GSM1873751	0.621787771609813	0.663651162875097	Tumour	GSE72874
GSM1873752	0.46711167483863	0.711889955815964	Tumour	GSE72874
GSM1873753	0.419909311311193	0.688685669421514	Normal	GSE72874
GSM1873754	0.453460524953611	0.684829775485441	Normal	GSE72874
GSM1873755	0.519060643594809	0.666701042754278	Tumour	GSE72874
GSM1873756	0.429387940145336	0.74261096036879	Tumour	GSE72874
GSM1873757	0.519855238586334	0.680573035121348	Normal	GSE72874
GSM1873758	0.696946963747748	0.454539456082722	Normal	GSE72874
GSM1873759	0.433212808539475	0.722274475427602	Tumour	GSE72874
GSM1873760	0.351340298975694	0.660845662716456	Tumour	GSE72874
GSM1873761	0.445118901352052	0.670784498370096	Tumour	GSE72874
GSM1873762	0.416566162768439	0.720886475608612	Tumour	GSE72874
GSM1873763	0.426674844618291	0.646478305049237	Tumour	GSE72874
GSM1873764	0.399785856815242	0.682501516734761	Tumour	GSE72874
