region	lessFDR	greatFDR	lessFDRType	greatFDRType
chr2:96698274-96698464	0.999999817758387	0.000447683812586817	0	1
chr17:81408915-81409025	0.999999817758387	0.0413352962644377	0	1
chr7:4762825-4763013	0.999999817758387	0.12645025987571	0	0
chr7:76974970-76975146	0.999999817758387	0.12400870730049	0	0
chr17:29597057-29597395	0.999999817758387	0.0822611519592609	0	0
chr17:1091787-1092348	0.999999817758387	0.0294728045443929	0	1
chr10:131982961-131983093	0.999999817758387	0.12645025987571	0	0
chr12:122841253-122841925	0.999999817758387	0.114547574445818	0	0
chr2:109285373-109285533	0.999999817758387	0.0790778235301808	0	0
chr20:62159690-62159918	0.999999817758387	0.0861088915051035	0	0
chr17:31491772-31492052	0.999999817758387	0.0790778235301808	0	0
chr20:57223817-57223963	0.999999817758387	0.0097913513450161	0	1
chr21:42150147-42150251	0.999999817758387	0.153477904588392	0	0
chr11:69399233-69399516	0.999999817758387	0.126675300151407	0	0
chr8:144375450-144375720	0.999999817758387	0.100828820663321	0	0
chr19:40689425-40689534	0.999999817758387	0.121451470362077	0	0
chr17:29091836-29092311	0.999999817758387	0.192032727783172	0	0
chr17:72660220-72660339	0.999999817758387	0.27619154973156	0	0
chr10:72044937-72045161	0.999999817758387	0.0531970752859327	0	0
chr2:72893980-72894280	0.999999817758387	0.0895912817854375	0	0
chr17:7903227-7903499	0.999999817758387	0.239909187689294	0	0
chr19:41919950-41920550	0.999999817758387	0.268504135604389	0	0
chr17:74210824-74210941	0.999999817758387	0.0936132047710049	0	0
chr17:29582173-29583108	0.999999817758387	0.254875470129274	0	0
chr10:510304-510608	0.999999817758387	0.128765219682385	0	0
chr11:46296012-46296252	0.999999817758387	0.0158337485443279	0	1
chr11:69121097-69121353	0.999999817758387	0.239909187689294	0	0
chr22:17945528-17946573	0.999999817758387	0.305666293878782	0	0
chr3:184168396-184168963	0.999999817758387	0.297055175879371	0	0
chr1:206513554-206514067	0.999999817758387	0.0357199979830026	0	1
chr2:159041873-159042396	0.999999817758387	0.254786380450522	0	0
chr17:61397918-61398946	0.999999817758387	0.0490941393009372	0	1
chr9:114472900-114473374	0.999999817758387	0.239909187689294	0	0
chr16:86507738-86509201	0.999999817758387	0.00112422685523611	0	1
chr2:176129203-176129342	0.999999817758387	0.00136612755172505	0	1
chr1:55059941-55060218	0.999999817758387	0.430126076376739	0	0
chr13:99895244-99895847	0.999999817758387	0.00091033199626421	0	1
chr8:125569522-125570263	0.999999817758387	0.243562526508878	0	0
chr9:92716412-92717373	0.999999817758387	0.478855512760237	0	0
chr12:124620904-124622282	0.999999817758387	0.349049691384427	0	0
chr7:102933658-102934193	0.999999817758387	0.0126023897185376	0	1
chr4:151674619-151675093	0.999999817758387	0.00201865813225853	0	1
chr17:75812604-75812803	0.999999817758387	0.406720641905779	0	0
chr13:27923541-27924024	0.999999817758387	0.00091033199626421	0	1
chr18:79630940-79631085	0.999999817758387	0.546404024411074	0	0
chr8:66432263-66433075	0.999999817758387	0.00189663352655437	0	1
chr9:121700733-121701326	0.999999817758387	0.129635188682272	0	0
chr1:228092462-228093281	0.999999817758387	0.282776669282969	0	0
chr14:91387630-91388033	0.999999817758387	0.17793152333628	0	0
chr6:36722708-36722907	0.999999817758387	0.565118158350821	0	0
chr14:91354035-91354417	0.999999817758387	0.520701436098917	0	0
chr1:161621297-161621894	0.999999817758387	0.00112422685523611	0	1
chr1:15020660-15020920	0.999999817758387	0.467379524084505	0	0
chr16:74749540-74749788	0.999999817758387	0.31438772619504	0	0
chr15:93028476-93029560	0.999999817758387	0.181772081266841	0	0
chr2:23564954-23565122	0.999999817758387	0.551650164160699	0	0
chr8:127851558-127852810	0.999999817758387	0.40163646013266	0	0
chr1:6301409-6301905	0.999999817758387	0.590434765176657	0	0
chr7:106060322-106061060	0.999999817758387	0.63736815435423	0	0
chr22:42907901-42908017	0.999999817758387	0.47505308456649	0	0
chr8:143888288-143889440	0.999999817758387	0.555225223609483	0	0
chr8:139893826-139895061	0.999999817758387	0.534563426199613	0	0
chr6:5107111-5107467	0.999999817758387	0.624427053731331	0	0
chr1:116262461-116263157	0.999999817758387	0.239909187689294	0	0
chr11:16881147-16881401	0.999999817758387	0.00282317681853542	0	1
chr10:62818426-62819159	0.999999817758387	0.0180385533400845	0	1
chr2:105515155-105515895	0.999999817758387	0.00189663352655437	0	1
chr17:42586543-42588066	0.999999817758387	0.000813284756508856	0	1
chr8:10654179-10654743	0.999999817758387	0.234495348794883	0	0
chr9:38036213-38036935	0.999999817758387	0.275070831652766	0	0
chr13:27926433-27927486	0.999999817758387	0.000668185588578131	0	1
chr10:124649170-124649639	0.999999817758387	0.199741478270864	0	0
chr1:234726218-234727372	0.999999817758387	0.165180392290042	0	0
chr2:176105033-176107370	0.999999817758387	0.00189663352655437	0	1
chr16:10981891-10982575	0.999999817758387	0.325323139658471	0	0
chr15:62758188-62758805	0.999999817758387	0.0673261018831364	0	0
chr13:27928845-27931517	0.999999817758387	0.000447683812586817	0	1
chr10:78951421-78951586	0.999999817758387	0.705275033838254	0	0
chr6:53349042-53349278	0.999999817758387	0.114547574445818	0	0
chr8:142305177-142305967	0.999999817758387	0.78972977057656	0	0
chr17:49815402-49816564	0.999999817758387	0.000447683812586817	0	1
chr10:89207656-89207830	0.999999817758387	0.0347403108729978	0	1
chr1:206004721-206005395	0.999999817758387	0.40163646013266	0	0
chr17:48573636-48574383	0.999999817758387	0.00153500713520867	0	1
chr9:121717007-121717951	0.999999817758387	0.509808476361315	0	0
chr15:73982525-73982856	0.999999817758387	0.190812884924412	0	0
chr5:178590921-178591185	0.999999817758387	0.00536703255411961	0	1
chr18:48616585-48616705	0.999999817758387	0.716540713161601	0	0
chr1:43582071-43582204	0.999999817758387	0.747149445932825	0	0
chr1:32464477-32464794	0.999999817758387	0.0251996906364604	0	1
chr17:39637899-39638208	0.999999817758387	0.0215018449193517	0	1
chr1:39268418-39270048	0.999999817758387	0.000915833555726363	0	1
chr12:117033557-117034219	0.999999817758387	0.0059414549317618	0	1
chr2:216694057-216695447	0.999999817758387	0.0178145984565883	0	1
chr1:230769095-230769483	0.999999817758387	0.00955201229754114	0	1
chr3:150255036-150255650	0.999999817758387	0.00112422685523611	0	1
chr15:77497719-77498618	0.999999817758387	0.0737830776358567	0	0
chr4:2937707-2938147	0.999999817758387	0.167793108263385	0	0
chr2:42867300-42867875	0.999999817758387	0.00833910712585757	0	1
chr16:306039-306403	0.999999817758387	0.691078893664385	0	0
chr15:57476311-57477147	0.999999817758387	0.000538149661886733	0	1
chr6:108165606-108165821	0.999999817758387	0.0487199696872487	0	1
chr1:206001671-206002558	0.999999817758387	0.0872132284889477	0	0
chr9:33187449-33187623	0.999999817758387	0.239909187689294	0	0
chr17:73286645-73286951	0.999999817758387	0.559526099793273	0	0
chr11:86515533-86515959	0.999999817758387	0.512829209649072	0	0
chr8:143893052-143893180	0.999999817758387	0.691078893664385	0	0
chr8:141055776-141056706	0.999999817758387	0.67273005196589	0	0
chr17:36937168-36940073	0.999999817758387	0.0165536448370426	0	1
chr6:143286011-143286620	0.999999817758387	0.0812417294506482	0	0
chr2:104853290-104854118	0.999999817758387	0.114547574445818	0	0
chr5:1039196-1039900	0.999999817758387	0.7186874805096	0	0
chr1:10774691-10775649	0.999999817758387	0.0437918050428491	0	1
chr7:30992293-30992880	0.999999817758387	0.860879879920213	0	0
chr1:230072749-230074217	0.999999817758387	0.683044012943454	0	0
chr1:11281871-11282374	0.999999817758387	0.00980865724126798	0	1
chr16:66618273-66619064	0.999999817758387	0.200773904302711	0	0
chr16:22070784-22071573	0.999999817758387	0.00153500713520867	0	1
chr11:1746263-1746560	0.999999817758387	0.770907540358752	0	0
chr1:211705533-211705874	0.999999817758387	0.67273005196589	0	0
chr12:53697127-53697484	0.999999817758387	0.114547574445818	0	0
chr1:39969389-39970135	0.999999817758387	0.841473997218655	0	0
chr5:143177346-143178289	0.999999817758387	0.0701110990218062	0	0
chr3:169558140-169558818	0.999999817758387	0.000521504983617786	0	1
chr17:61314299-61315087	0.999999817758387	0.0294728045443929	0	1
chr9:130665547-130665791	0.999999817758387	0.0451992987029978	0	1
chr14:101563676-101564858	0.999999817758387	0.0699341512288802	0	0
chr12:64825538-64826903	0.999999817758387	0.0300143936364036	0	1
chr13:98677298-98677783	0.999999817758387	0.680507128612547	0	0
chr17:82006406-82006832	0.999999817758387	0.781864891251757	0	0
chr2:72146278-72146642	0.999999817758387	0.239909187689294	0	0
chr1:2152950-2153671	0.999999817758387	0.811227949245971	0	0
chr1:91745425-91746218	0.999999817758387	0.00112422685523611	0	1
chr11:66686480-66687034	0.999999817758387	0.740961893724234	0	0
chr1:153550235-153550980	0.999999817758387	0.795611911571148	0	0
chr20:62149610-62150167	0.999999817758387	0.70480986391156	0	0
chr1:208219090-208220053	0.999999817758387	0.671564292265017	0	0
chr1:32703681-32703957	0.999999817758387	0.876147085868288	0	0
chr19:7515457-7515832	0.999999817758387	0.236053320989185	0	0
chr8:739447-739931	0.999999817758387	0.0866539116489079	0	0
chr14:69685040-69686001	0.999999817758387	0.0248469363225526	0	1
chr2:134301676-134302793	0.999999817758387	0.00401203525878426	0	1
chr7:129306868-129308070	0.999999817758387	0.851366493463872	0	0
chr22:50696056-50696376	0.999999817758387	0.716258368187852	0	0
chr19:10554584-10555849	0.999999817758387	0.801084783064243	0	0
chr6:108163764-108164263	0.999999817758387	0.239909187689294	0	0
chr17:379527-380156	0.999999817758387	0.795611911571148	0	0
chr2:100976740-100977401	0.999999817758387	0.555225223609483	0	0
chr16:84964608-84965160	0.999999817758387	0.852465789144532	0	0
chr15:31339385-31339652	0.999999817758387	0.556845670924777	0	0
chr22:40220642-40221285	0.999999817758387	0.00686319487301992	0	1
chr5:16778222-16778589	0.999999817758387	0.805492374994211	0	0
chr14:77140430-77140660	0.999999817758387	0.0871172920670373	0	0
chr12:124528245-124528632	0.999999817758387	0.851366493463872	0	0
chr3:187764096-187764545	0.999999817758387	0.112591088834953	0	0
chr16:3127802-3128227	0.999999817758387	0.710029010358694	0	0
chr16:81515236-81515727	0.999999817758387	0.861315534075856	0	0
chr1:33369564-33369701	0.99980135571361	0.997350316653346	0	0
chr7:1240804-1243297	0.999999817758387	0.0695346777375329	0	0
chr9:124503980-124504176	0.999999817758387	0.0394253923743814	0	1
chr21:43361485-43361654	0.999999817758387	0.851366493463872	0	0
chr8:143986989-143987224	0.999999817758387	0.820706499324806	0	0
chr4:1211630-1212083	0.999999817758387	0.0936132047710049	0	0
chr16:89395268-89396036	0.999999817758387	0.377188056397291	0	0
chr2:190467378-190468690	0.999999817758387	0.0210278312083544	0	1
chr10:71965377-71966400	0.999999817758387	0.585146188058512	0	0
chr9:96967741-96968829	0.999999817758387	0.524368472502885	0	0
chr2:159134774-159136198	0.999999817758387	0.0341619992521422	0	1
chr15:98760283-98761049	0.999999817758387	0.00258853434877396	0	1
chr2:241329623-241330327	0.999999817758387	0.00593800473659284	0	1
chr9:137147247-137147453	0.999999817758387	0.946176066634142	0	0
chr12:24948457-24948871	0.999999817758387	0.0270523826454369	0	1
chr5:838624-838853	0.999999817758387	0.894506984141738	0	0
chr9:124290965-124291392	0.999999817758387	0.819414690031181	0	0
chr17:50844405-50844870	0.999999817758387	0.919279978474781	0	0
chr6:151241490-151241591	0.999999817758387	0.204957245082077	0	0
chr4:151430800-151431374	0.999999817758387	0.0018403847403696	0	1
chr2:207668085-207668216	0.999999817758387	0.951142095437991	0	0
chr10:80155257-80155890	0.999999817758387	0.0330845669244338	0	1
chr1:2290822-2291001	0.999999817758387	0.686796304326976	0	0
chr9:122228090-122228433	0.999999817758387	0.129635188682272	0	0
chr11:20097630-20098311	0.999999817758387	0.00189663352655437	0	1
chr22:21835037-21835409	0.999999817758387	0.00931064679373144	0	1
