varnames	PC1	PC2	PC3	PC4	PC5	Type	Color	PMD_methylation
EAC_1	-26.5433743876794	28.3899753221532	17.8584239211062	28.9537415731382	-3.0228271421984	EAC/GEJ_Tumor	#0000F5	0.388087
EAC_2	-41.947591699422	-5.46061729591711	14.5273890552359	4.70755653321791	0.302164938458909	EAC/GEJ_Tumor	#0000F5	0.685676
EAC_3	-47.5117802683829	9.57354062790969	15.9148451214093	11.5630339081973	1.31302475427808	EAC/GEJ_Tumor	#0000F5	0.616495
EAC_4	-31.9726874995746	-12.8468402512846	10.8713032037773	11.2492442301045	3.88043210716648	EAC/GEJ_Tumor	#0000F5	0.751977
EAC_6	-54.8413498213047	14.020215335122	-23.0380291498591	-11.5111328118407	-1.32689866374915	EAC/GEJ_Tumor	#0000F5	0.650777
ESCC_1	67.2436073497377	-16.9031612072183	-0.649767730763502	15.5801032237462	5.02466080494129	ESCC_Tumor	#EA3323	0.633155
ESCC_10	61.8339419988599	-19.8660018356572	-40.1639564874537	12.338486236401	4.06775830294658	ESCC_Tumor	#EA3323	0.779981
ESCC_11	68.585482380899	-18.7866547328251	1.94912158200048	10.7266776689381	3.77073799374027	ESCC_Tumor	#EA3323	0.738587
ESCC_12	61.6498505395382	14.7917621329208	10.5197985883994	-2.44961447368376	17.9318953310377	ESCC_Tumor	#EA3323	0.538765
ESCC_13	69.3192712190235	-0.121653822572619	5.10213733835415	7.30978281517856	8.42327269594496	ESCC_Tumor	#EA3323	0.616602
ESCC_14	39.344530548989	10.8535232324774	11.3088333462563	-14.4372175633812	33.2830627929349	ESCC_Tumor	#EA3323	0.705858
ESCC_15	43.9235772575584	6.03464083554463	9.43082737605959	6.48041768008309	-34.7171736023451	ESCC_Tumor	#EA3323	0.588239
ESCC_16	62.9991676974321	7.67351069650188	7.70404582886461	-0.242206261367799	-13.7095720971373	ESCC_Tumor	#EA3323	0.617333
ESCC_17	46.564358989552	0.279421200476706	8.08308255239293	1.51751230603031	-36.4745541510273	ESCC_Tumor	#EA3323	0.668842
ESCC_19	46.4566915539213	30.7653982581422	14.7628013346204	-7.92011173102832	17.3352870707979	ESCC_Tumor	#EA3323	0.482401
ESCC_2	-19.0969814124021	-27.7311101017841	12.8127025347427	-18.5010027567975	0.219246224503816	ESCC_Tumor	#EA3323	0.69634
ESCC_20	33.5092693973615	36.9136342076716	17.7627871706115	-17.9624669686764	18.9399625599278	ESCC_Tumor	#EA3323	0.541139
ESCC_21	5.84314810668898	27.0241292030683	16.1266311576699	-20.5708911909278	-6.80118848869154	ESCC_Tumor	#EA3323	0.6011
ESCC_22	-1.58742585975637	30.1225959976829	19.1518274616387	-16.2784709327772	0.584240565222705	ESCC_Tumor	#EA3323	0.562475
ESCC_3	26.2264940193742	38.121483379655	-30.7253998603006	-16.4576515311775	-25.2681145665102	ESCC_Tumor	#EA3323	0.568246
ESCC_4	11.9150040804449	30.0731975468068	-29.5022929713867	-23.6944864917557	14.1600161779742	ESCC_Tumor	#EA3323	0.594843
ESCC_5	-45.1505375581075	11.0484379654144	21.1976610383306	-16.3739075224032	-11.1546185132805	ESCC_Tumor	#EA3323	0.562077
ESCC_6	-28.6704938761437	-15.2440645073845	17.4837041002602	-23.2752824968442	-2.57574473407705	ESCC_Tumor	#EA3323	0.640002
ESCC_7	55.8109355459573	-18.8755364111858	3.76855239724025	13.7249663694308	1.80462712077746	ESCC_Tumor	#EA3323	0.565835
ESCC_8	19.1847988329935	-23.5720935016678	8.78751289930677	-10.4883762024266	-18.2385907840147	ESCC_Tumor	#EA3323	0.715593
ESCC_9	49.8480727504209	30.4515321307596	-33.8192032174655	-8.52284626933865	-3.62843906525518	ESCC_Tumor	#EA3323	0.57024
ESCC_Nonmalignant_1	45.8554679659245	-37.3474835081988	0.865573472281692	6.64465178469937	3.08751704659255	ESCC_Nonmalignant	#F7CE46	0.768458
ESCC_Nonmalignant_2	20.3453330528376	-45.7628101340536	3.90127719623869	-0.809898336044779	3.59973431024911	ESCC_Nonmalignant	#F7CE46	0.756535
ESCC_Nonmalignant_3	-18.8307337342874	-20.3191261056292	-30.9087488055704	-28.1002474672237	-8.46248871792795	ESCC_Nonmalignant	#F7CE46	0.728691
ESCC_Nonmalignant_53F	-14.6570992387315	-33.7944385020181	11.5109468123078	-18.5119687164902	-0.843073844456613	ESCC_Nonmalignant	#F7CE46	0.74623
ESCC_Nonmalignant_54M	19.9096358848899	-27.9409962335513	6.80726422438207	-9.08101920116632	-1.33951171839076	ESCC_Nonmalignant	#F7CE46	0.74146
GEJ_1	-33.6715909480408	-5.94494151413289	-34.4853912705591	10.70658738698	2.3205567388857	EAC/GEJ_Tumor	#0000F5	0.757661
GEJ_2	-41.5020915207418	25.0914540356342	19.1969772627247	17.3275018164148	-4.95064655618931	EAC/GEJ_Tumor	#0000F5	0.562564
GEJ_3	-34.9414796196076	-9.51775873462937	9.3102671970223	20.0819334989222	1.6147644492649	EAC/GEJ_Tumor	#0000F5	0.700521
GEJ_4	-9.16061158070414	15.0810238072695	9.73667025784958	41.4269771676569	-2.97281929273504	EAC/GEJ_Tumor	#0000F5	0.601141
GEJ_5	-32.6183390220738	26.7210955832431	17.2220877301728	25.6231221659246	-1.21896461468902	EAC/GEJ_Tumor	#0000F5	0.510449
GEJ_6	-25.138373535907	31.4440395227009	-29.6363755649917	31.3823966221541	5.0319460199671	EAC/GEJ_Tumor	#0000F5	0.569443
GEJ_7	-53.0507985812574	11.1605543914141	-24.8018308954309	-6.51060230381374	0.521706147520242	EAC/GEJ_Tumor	#0000F5	0.698312
GEJ_Nonmalignant_1	-34.7224581628258	-28.1211382824046	8.66252854500269	2.90133451120407	7.03349101045269	GEJ_Nonmalignant	#75FBFD	0.763762
GEJ_Nonmalignant_2	-26.474696966536	-19.8714216699489	-37.9079327272928	12.8116315946177	7.39941683000635	GEJ_Nonmalignant	#75FBFD	0.774177
GEJ_Nonmalignant_3	-49.3698253426745	-8.65883518138193	16.3308690030553	-10.8367757265589	3.72625447449126	GEJ_Nonmalignant	#75FBFD	0.771588
GEJ_Nonmalignant_4	-36.9916024076311	-13.9097347678299	-35.5240991188756	12.5220768292021	3.92364826873354	GEJ_Nonmalignant	#75FBFD	0.737752
GEJ_Nonmalignant_5	-56.2924883165775	2.07075327816571	-22.7926408277231	-18.1081788195972	-0.254013913540982	GEJ_Nonmalignant	#75FBFD	0.71839
GEJ_Nonmalignant_6	-40.4815342909306	-19.4179781444541	9.30054078636374	7.18905552004463	3.8169937173451	GEJ_Nonmalignant	#75FBFD	0.693779
GEJ_Nonmalignant_7	-51.1426935210936	-7.69152224500375	15.9866781319924	-12.1244356669719	3.84282201205322	GEJ_Nonmalignant	#75FBFD	0.775906
