varnames	PC1	PC2	PC3	PC4	PC5	Type	Color	PMD_methylation
EAC_1	-0.56358273878221	-39.2495819215844	24.3822653153965	2.67938664136982	-1.13614160821214	EAC/GEJ_Tumor	#0000F5	0.388087
EAC_2	-28.1140827318075	-27.5846356303155	-3.36507459269051	-13.1016784461806	8.03054516321726	EAC/GEJ_Tumor	#0000F5	0.685676
EAC_3	-57.3983365806195	12.5363546865152	9.75172339262466	-6.2795602027032	-2.7332634675454	EAC/GEJ_Tumor	#0000F5	0.616495
EAC_4	-33.4649421195595	-23.4437777096257	3.87807093373683	3.33088338293935	-1.6028653230431	EAC/GEJ_Tumor	#0000F5	0.751977
EAC_6	-53.8024106430388	15.7748272488695	6.38214776798419	-7.87822202946257	-4.00841412719133	EAC/GEJ_Tumor	#0000F5	0.650777
ESCC_1	56.3262764807143	-25.2940894620807	-5.31627836115347	-1.88588128908781	10.8888045557124	ESCC_Tumor	#EA3323	0.633155
ESCC_10	50.355160656019	-17.5081904789155	-20.8945810188178	7.01468357333065	1.68885418597869	ESCC_Tumor	#EA3323	0.779981
ESCC_11	61.9444851717563	-17.8575314188466	-11.5723759443176	6.35203306234641	3.69689498744258	ESCC_Tumor	#EA3323	0.738587
ESCC_12	48.4101186743427	9.28079938241006	20.3723096438107	26.3653298068775	-2.83882225008749	ESCC_Tumor	#EA3323	0.538765
ESCC_13	59.0422943703246	-7.8043763109974	7.08103011424314	18.4652098653908	-2.07550726148933	ESCC_Tumor	#EA3323	0.616602
ESCC_14	28.3643099345402	23.9660063901976	11.5728810251971	27.1848954137181	18.9795286445321	ESCC_Tumor	#EA3323	0.705858
ESCC_15	30.0943845164682	7.39832497193439	1.40017242604436	-32.1991527283356	-25.8037145782222	ESCC_Tumor	#EA3323	0.588239
ESCC_16	52.4563531584074	1.92535277399975	9.7512431946426	-4.10016271351605	-25.8992736527144	ESCC_Tumor	#EA3323	0.617333
ESCC_17	49.2991165372078	-4.52828692294188	0.926123154206668	-18.6228584196221	-27.9633797722009	ESCC_Tumor	#EA3323	0.668842
ESCC_19	28.7235228426866	27.852827947281	29.7852307330136	21.5522736654214	-4.0845834047429	ESCC_Tumor	#EA3323	0.482401
ESCC_2	3.6172572693805	7.53660773184275	-28.8461025084422	-1.61939960260362	20.2344567925934	ESCC_Tumor	#EA3323	0.69634
ESCC_20	25.042055188289	33.9379133227821	31.1790577830005	9.70731277229706	6.95723288303391	ESCC_Tumor	#EA3323	0.541139
ESCC_21	17.2502298921622	27.5629552634627	14.8570394551872	-10.7153462698902	4.17631471028444	ESCC_Tumor	#EA3323	0.6011
