SampleName	cancerType	delta_ESCCspecificVSEACspecific	delta_sharedHMDVSsharedPMD	Label
TCGA-05-4384_T	LUAD	0.00532300408543185	0.00532300408543185	Other cancers
TCGA-05-4390_T	LUAD	0.0215718687562986	0.0215718687562986	Other cancers
TCGA-05-4396_T	LUAD	0.0449591441822543	0.0449591441822543	Other cancers
TCGA-05-4405_T	LUAD	0.0444936557119743	0.0444936557119743	Other cancers
TCGA-05-4410_T	LUAD	0.0306317635814227	0.0306317635814227	Other cancers
TCGA-05-4415_T	LUAD	-0.0574991816584332	-0.0574991816584332	Other cancers
TCGA-05-4417_T	LUAD	0.0338211572445709	0.0338211572445709	Other cancers
TCGA-05-4424_T	LUAD	0.0118627361695071	0.0118627361695071	Other cancers
TCGA-05-4425_T	LUAD	0.0351618668958367	0.0351618668958367	Other cancers
TCGA-05-4427_T	LUAD	-0.0436225531554358	-0.0436225531554358	Other cancers
TCGA-05-4433_T	LUAD	0.0890276115971111	0.0890276115971111	Other cancers
TCGA-05-5420_T	LUAD	0.0345754135540657	0.0345754135540657	Other cancers
TCGA-05-5423_T	LUAD	0.0474034493749825	0.0474034493749825	Other cancers
TCGA-05-5425_T	LUAD	0.0738771358996736	0.0738771358996736	Other cancers
TCGA-05-5428_T	LUAD	-0.00454367684384149	-0.00454367684384149	Other cancers
TCGA-05-5429_T	LUAD	0.114503990526863	0.114503990526863	Other cancers
TCGA-05-5715_T	LUAD	0.0197228959385802	0.0197228959385802	Other cancers
TCGA-06-0125_T	GBM	-0.00878070362638939	-0.00878070362638939	Other cancers
TCGA-06-0152_T	GBM	0.0191357741131905	0.0191357741131905	Other cancers
TCGA-06-0171_T	GBM	0.0206356090033258	0.0206356090033258	Other cancers
TCGA-06-0190_T	GBM	0.00765877700901318	0.00765877700901318	Other cancers
TCGA-06-0210_T	GBM	-0.040253688988263	-0.040253688988263	Other cancers
TCGA-06-0211_T	GBM	0.00327650190233919	0.00327650190233919	Other cancers
TCGA-06-0221_T	GBM	-0.0642162603762191	-0.0642162603762191	Other cancers
TCGA-06-0650_T	GBM	0.0248902389149386	0.0248902389149386	Other cancers
TCGA-06-1804_T	GBM	-0.00628539009520102	-0.00628539009520102	Other cancers
TCGA-06-1806_T	GBM	0.0414494581100545	0.0414494581100545	Other cancers
TCGA-06-5408_T	GBM	-0.00436996517065835	-0.00436996517065835	Other cancers
TCGA-06-5410_T	GBM	0.0261512884795454	0.0261512884795454	Other cancers
TCGA-06-5411_T	GBM	-0.0163151617345008	-0.0163151617345008	Other cancers
TCGA-06-5412_T	GBM	0.0279674880745414	0.0279674880745414	Other cancers
TCGA-06-5413_T	GBM	-0.00534693120083052	-0.00534693120083052	Other cancers
TCGA-06-5414_T	GBM	0.0056653511409418	0.0056653511409418	Other cancers
TCGA-06-5415_T	GBM	0.0169825390070779	0.0169825390070779	Other cancers
TCGA-06-5416_T	GBM	0.021554722786595	0.021554722786595	Other cancers
TCGA-06-5417_T	GBM	-0.137491589064026	-0.137491589064026	Other cancers
TCGA-06-5418_T	GBM	0.00944751337127303	0.00944751337127303	Other cancers
TCGA-06-5856_T	GBM	-0.00524481035477087	-0.00524481035477087	Other cancers
TCGA-06-5858_T	GBM	0.00911474863906137	0.00911474863906137	Other cancers
TCGA-06-5859_T	GBM	-0.0151202528891557	-0.0151202528891557	Other cancers
TCGA-06-6388_T	GBM	0.0093660122927568	0.0093660122927568	Other cancers
TCGA-06-6389_T	GBM	0.00191126882619919	0.00191126882619919	Other cancers
TCGA-06-6390_T	GBM	0.0533950890122663	0.0533950890122663	Other cancers
TCGA-06-6391_T	GBM	-0.0208123497891104	-0.0208123497891104	Other cancers
TCGA-06-6693_T	GBM	-0.00563702222667894	-0.00563702222667894	Other cancers
TCGA-06-6694_T	GBM	-0.0246242119239655	-0.0246242119239655	Other cancers
TCGA-06-6695_T	GBM	0.037688201259936	0.037688201259936	Other cancers
TCGA-06-6697_T	GBM	0.027022464785854	0.027022464785854	Other cancers
TCGA-06-6698_T	GBM	0.0321321201278953	0.0321321201278953	Other cancers
TCGA-06-6699_T	GBM	0.00184779942938795	0.00184779942938795	Other cancers
TCGA-06-6700_T	GBM	-0.0150532765608944	-0.0150532765608944	Other cancers
TCGA-06-6701_T	GBM	-0.00467046196874332	-0.00467046196874332	Other cancers
TCGA-06-A5U0_T	GBM	-0.0035404711652981	-0.0035404711652981	Other cancers
TCGA-06-A5U1_T	GBM	0.00270549598668413	0.00270549598668413	Other cancers
TCGA-06-A6S0_T	GBM	-0.0414321253898322	-0.0414321253898322	Other cancers
TCGA-06-A6S1_T	GBM	-0.0198466267121636	-0.0198466267121636	Other cancers
TCGA-06-A7TK_T	GBM	0.00498926794857069	0.00498926794857069	Other cancers
TCGA-06-A7TL_T	GBM	-0.00293241108112685	-0.00293241108112685	Other cancers
TCGA-12-5295_T	GBM	-0.0303844623968971	-0.0303844623968971	Other cancers
TCGA-12-5299_T	GBM	-0.0213108054359102	-0.0213108054359102	Other cancers
TCGA-12-5301_T	GBM	-0.0273354657662505	-0.0273354657662505	Other cancers
TCGA-13-A5FT_T	OV	-0.0042376526004041	-0.0042376526004041	Other cancers
TCGA-13-A5FU_T	OV	-0.0299182449410647	-0.0299182449410647	Other cancers
TCGA-14-0736_T	GBM	-0.00287909389786645	-0.00287909389786645	Other cancers
TCGA-14-0740_T	GBM	-0.0245098193001278	-0.0245098193001278	Other cancers
TCGA-14-0781_T	GBM	0.0206267985157158	0.0206267985157158	Other cancers
TCGA-14-0862_T	GBM	0.0333268239603669	0.0333268239603669	Other cancers
TCGA-14-1034_T	GBM	0.0544141488458559	0.0544141488458559	Other cancers
TCGA-14-1043_T	GBM	0.0158113011264222	0.0158113011264222	Other cancers
TCGA-14-1395_T	GBM	0.0120035716360073	0.0120035716360073	Other cancers
TCGA-14-1402_T	GBM	0.00405646711614083	0.00405646711614083	Other cancers
TCGA-14-1450_T	GBM	0.0464596510548377	0.0464596510548377	Other cancers
TCGA-15-1444_T	GBM	-0.0328322312509765	-0.0328322312509765	Other cancers
TCGA-18-3417_T	LUSC	-0.0486141727453906	-0.0486141727453906	Squamous cancers
TCGA-18-4721_T	LUSC	-0.028513012608678	-0.028513012608678	Squamous cancers
TCGA-18-5592_T	LUSC	-0.163703324500992	-0.163703324500992	Squamous cancers
TCGA-18-5595_T	LUSC	-0.168434283179268	-0.168434283179268	Squamous cancers
TCGA-19-0957_T	GBM	-0.0376443125683565	-0.0376443125683565	Other cancers
TCGA-19-1389_T	GBM	0.0346375342609759	0.0346375342609759	Other cancers
